			-88.00		25.551E-03		6.9390E+00
			-82.50		29.491E-03		6.9480E+00
			-77.00		35.338E-03		6.9444E+00
			-71.50		42.423E-03		6.9444E+00
			-66.00		52.475E-03		6.9462E+00
			-63.80		58.305E-03		6.9462E+00
			-60.50		73.527E-03		6.9444E+00
			-57.20		124.45E-03		6.9426E+00
			-53.90		286.97E-03		6.9426E+00
			-50.60		452.31E-03		6.9444E+00
			-47.30		504.75E-03		6.9480E+00
			-44.00		519.54E-03		6.9408E+00
			-33.00		535.39E-03		6.9426E+00
			-22.00		543.74E-03		6.9408E+00
			-11.00		546.19E-03		6.9426E+00
			0.00		544.17E-03		6.9408E+00
			11.00		543.75E-03		6.9462E+00
			22.00		542.88E-03		6.9408E+00
			33.00		534.82E-03		6.9444E+00
			44.00		518.40E-03		6.9444E+00
			47.30		508.17E-03		6.9426E+00
			50.60		478.91E-03		6.9408E+00
			53.90		358.48E-03		6.9426E+00
			57.20		175.05E-03		6.9444E+00
			60.50		84.695E-03		6.9390E+00
			63.80		62.381E-03		6.9444E+00
			66.00		55.152E-03		6.9408E+00
			71.50		44.162E-03		6.9426E+00
			77.00		36.307E-03		6.9408E+00
			82.50		30.464E-03		6.9426E+00
			88.00		25.791E-03		6.9444E+00

