			0.00		612.56E-03		8.0514E+00
			2.00		609.82E-03		8.0532E+00
			4.00		698.48E-03		8.0532E+00
			6.00		740.78E-03		8.0550E+00
			8.00		759.98E-03		8.0568E+00
			10.00		767.91E-03		8.0478E+00
			12.00		769.46E-03		8.0550E+00
			14.00		767.77E-03		8.0532E+00
			16.00		763.47E-03		8.0514E+00
			18.00		759.37E-03		8.0514E+00
			20.00		754.02E-03		8.0568E+00
			25.00		740.66E-03		8.0442E+00
			30.00		727.16E-03		8.0532E+00
			35.00		713.01E-03		8.0532E+00
			40.00		699.07E-03		8.0550E+00
			45.00		685.75E-03		8.0496E+00
			50.00		672.25E-03		8.0550E+00
			60.00		644.75E-03		8.0496E+00
			70.00		617.59E-03		8.0442E+00
			80.00		591.57E-03		8.0532E+00
			90.00		566.23E-03		8.0532E+00
			100.00		541.89E-03		8.0496E+00
			110.00		517.46E-03		8.0586E+00
			120.00		494.64E-03		8.0604E+00
			130.00		471.61E-03		8.0532E+00
			140.00		450.38E-03		8.0532E+00
			150.00		430.07E-03		8.0568E+00
			160.00		410.42E-03		8.0406E+00
			170.00		391.06E-03		8.0550E+00
			180.00		372.90E-03		8.0532E+00
			190.00		355.48E-03		8.0460E+00
			200.00		338.85E-03		8.0532E+00
			210.00		322.72E-03		8.0532E+00
			220.00		307.39E-03		8.0478E+00
			230.00		292.93E-03		8.0496E+00
			240.00		278.89E-03		8.0568E+00
			250.00		265.74E-03		8.0550E+00
			260.00		252.98E-03		8.0496E+00
			270.00		240.79E-03		8.0496E+00
			280.00		229.11E-03		8.0568E+00
			290.00		218.36E-03		8.0442E+00
			300.10		207.90E-03		8.0460E+00

